epoch,epoch time(min),stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,stats_u/mean,stats_u/std,test/discount_return,test/distance,test/distance_std,test/episode,test/mean_Q,test/return,test/success_rate,train/discount_return,train/distance,train/distance_std,train/episode,train/return,train/success_rate
0,0.17204991976420084,0.8416186,0.56634057,0.26256785,0.027670983,0.0,1.0,0.7469974143156332,0.12568761,0.03942536,100.0,0.5567341,1.24,0.03,nan,nan,nan,0.0,nan,nan
1,0.18210132519404093,0.85675645,0.40639433,0.26242512,0.027383173,0.0,1.0,1.9100943390820349,0.10291095,0.03870307,200.0,0.9523563,3.13,0.09,nan,nan,nan,0.0,nan,nan
