# {"t_start": 1687707867.8747323, "env_id": "Point2DLargeEnv-v1"} 
r,l,t
-42.0,50,2.271309
-50.0,50,2.299485
-50.0,50,2.326896
-50.0,50,2.354282
-50.0,50,2.382618
-50.0,50,2.41276
-50.0,50,2.440895
-50.0,50,2.46899
-50.0,50,2.497409
-50.0,50,2.525381
-50.0,50,2.557053
-50.0,50,2.584682
-43.0,50,2.612285
-50.0,50,2.639006
-50.0,50,2.66539
-50.0,50,2.693685
-50.0,50,2.720984
-50.0,50,2.748524
-44.0,50,2.775687
-50.0,50,2.803583
-50.0,50,2.832381
-33.0,50,2.859665
-50.0,50,2.888745
-43.0,50,2.916373
-50.0,50,2.943877
-50.0,50,2.972413
-50.0,50,3.000462
-50.0,50,3.028939
-50.0,50,3.061832
-50.0,50,3.090057
-50.0,50,3.117002
-50.0,50,3.143593
-50.0,50,3.171471
-50.0,50,3.201183
-28.0,50,3.229899
-50.0,50,3.258643
-50.0,50,3.286572
-50.0,50,3.314663
-50.0,50,3.342408
-50.0,50,3.3694
-38.0,50,3.398586
-50.0,50,3.425682
-50.0,50,3.453187
-50.0,50,3.481517
-22.0,50,3.509003
-50.0,50,3.542787
-50.0,50,3.570189
-18.0,50,3.597435
-50.0,50,3.623782
-11.0,50,3.650602
-50.0,50,3.677218
-50.0,50,3.70635
-50.0,50,3.734887
-50.0,50,3.762055
-50.0,50,3.789952
-50.0,50,3.817522
-50.0,50,3.845176
-50.0,50,3.87301
-50.0,50,3.901531
-50.0,50,3.928744
-50.0,50,3.957483
-50.0,50,3.985154
-39.0,50,4.013288
-50.0,50,4.047451
-50.0,50,4.07774
-23.0,50,4.105025
-50.0,50,4.131533
-26.0,50,4.157857
-50.0,50,4.185616
-50.0,50,4.213263
-50.0,50,4.241848
-50.0,50,4.270312
-50.0,50,4.298487
-50.0,50,4.327554
-50.0,50,4.355726
-50.0,50,4.384102
-50.0,50,4.41257
-50.0,50,4.441058
-50.0,50,4.46923
-50.0,50,4.497726
-50.0,50,4.52613
-44.0,50,4.560633
-50.0,50,4.589524
-50.0,50,4.616341
-50.0,50,4.64313
-37.0,50,4.670138
-50.0,50,4.698487
-50.0,50,4.726419
-50.0,50,4.755165
-27.0,50,4.782977
-32.0,50,4.811583
-50.0,50,4.84048
-50.0,50,4.868665
-38.0,50,4.89772
-23.0,50,4.925913
-50.0,50,4.953884
-50.0,50,4.982158
-50.0,50,5.010802
-50.0,50,5.042557
-50.0,50,5.070627
-17.0,50,5.580441
-27.0,50,5.609403
-47.0,50,5.637148
-27.0,50,5.664203
-33.0,50,5.692333
-33.0,50,5.720329
-50.0,50,5.748375
-50.0,50,5.775412
-19.0,50,5.804709
-37.0,50,5.833209
-37.0,50,5.86091
-38.0,50,5.888853
-9.0,50,5.916495
-17.0,50,5.94379
