o2,u
"[-0.22082683  0.26167274 -0.975313   -0.9651567  -0.13631503 -0.09487378
 -0.17260039 -2.2247143  -0.13198443 -0.10216176  0.        ]",[-0.46709076 -0.32237408]
"[-0.23311038  0.22160871 -0.97245026 -0.9751357  -0.13631503 -0.09487378
 -1.0856436  -1.9054538  -0.133303   -0.0959462   0.        ]",[-0.23156865  0.06945413]
"[-0.2236809   0.21913339 -0.9746624  -0.9756949  -0.13631503 -0.09487378
  2.0437758   1.639872   -0.13236816 -0.09694992  0.        ]",[0.78558165 0.88602126]
"[-0.20204498  0.23747143 -0.97937626 -0.97139454 -0.13631503 -0.09487378
  0.17684267  0.24834183 -0.13013114 -0.10193322  0.        ]",[-0.4616369  -0.34333965]
"[-0.21809967  0.2545711  -0.9759265  -0.96705407 -0.13631503 -0.09487378
 -1.8123434   1.5116686  -0.13173166 -0.1017213   0.        ]",[-0.5017239   0.32018322]
"[-0.28483087  0.2686023  -0.9585778  -0.9632512  -0.13631503 -0.09487378
 -5.0731125  -0.05268284 -0.13846613 -0.09400277  0.        ]",[-0.8331775  -0.38772267]
"[-0.4111149   0.23941447 -0.91158354 -0.97091746 -0.13631503 -0.09487378
 -8.400535   -2.955518   -0.14929566 -0.07126138  0.        ]",[-0.86636937 -0.7336191 ]
"[-0.5279302   0.19282365 -0.84928775 -0.9812334  -0.13631503 -0.09487378
 -4.8597026  -1.8206631  -0.15565968 -0.04595739  0.        ]",[0.85287696 0.27197853]
"[-0.5752029   0.1737091  -0.81801075 -0.984797   -0.13631503 -0.09487378
 -0.82277685 -0.12940417 -0.15712473 -0.03511788  0.        ]",[0.99592566 0.41823113]
"[-0.5558964   0.1773826  -0.83125156 -0.98414195 -0.13631503 -0.09487378
  3.1506596   0.5004594  -0.15642452 -0.03916284  0.        ]",[1.         0.15863283]
"[-0.47719437  0.18356016 -0.87879777 -0.9830085  -0.13631503 -0.09487378
  6.0378833   0.12886861 -0.15238069 -0.05402298  0.        ]",[ 0.7453345  -0.09121364]
"[-0.3648758   0.1809898  -0.9310562  -0.983485   -0.13631503 -0.09487378
  6.3570538  -0.38855568 -0.14447677 -0.07216846  0.        ]",[ 0.11081413 -0.13005632]
"[-0.2533912   0.15737993 -0.9673639  -0.98753816 -0.13631503 -0.09487378
  5.377728   -2.0016608  -0.13480945 -0.0859588   0.        ]",[-0.2157862  -0.40942374]
"[-0.13188674  0.11031621 -0.9912648  -0.99389654 -0.13631503 -0.09487378
  7.008071   -2.7454174  -0.12316336 -0.09673578  0.        ]",[ 0.4388025  -0.19780453]
"[-0.01636422  0.05486063 -0.99986607 -0.998494   -0.13631503 -0.09487378
  4.5906763  -2.819663   -0.11155376 -0.10422427  0.        ]",[-0.5758365  -0.03263053]
"[ 0.04816329  0.00620168 -0.9988395  -0.99998075 -0.13631503 -0.09487378
  1.8730458  -2.0515628  -0.10501986 -0.10586403  0.        ]",[-0.66371995  0.17975274]
"[ 0.05505496 -0.02657684 -0.9984833  -0.9996468  -0.13631503 -0.09487378
 -1.1728235  -1.2293534  -0.10444853 -0.10298417  0.        ]",[-0.76022166  0.1972617 ]
"[ 0.03302967 -0.05270248 -0.9994544  -0.99861026 -0.13631503 -0.09487378
 -1.0323571  -1.3848222  -0.10667577 -0.09777955  0.        ]",[ 0.02962681 -0.04540621]
"[ 0.00667482 -0.06121255 -0.9999777  -0.9981248  -0.13631503 -0.09487378
 -1.6018214   0.5260617  -0.10916847 -0.09399678  0.        ]",[-0.1489718   0.47564796]
"[-0.02996961 -0.03016592 -0.9995508  -0.9995449  -0.13631503 -0.09487378
 -2.0615418   2.575145   -0.11279783 -0.09334244  0.        ]",[-0.12408856  0.5201072 ]
"[-0.04670186  0.01490211 -0.9989089  -0.99988896 -0.13631503 -0.09487378
  0.37892213  1.9343007  -0.11461551 -0.09639082  0.        ]",[ 0.6063181  -0.14886722]
"[-0.04806994  0.04239379 -0.99884397 -0.999101   -0.13631503 -0.09487378
 -0.51290715  0.81979764 -0.11480485 -0.09926032  0.        ]",[-0.22350277 -0.2718381 ]
"[-0.07849476  0.05744627 -0.9969145  -0.9983486  -0.13631503 -0.09487378
 -2.5290837   0.6877887  -0.11782417 -0.09737194  0.        ]",[-0.51202893 -0.0293357 ]
"[-0.10825523  0.0655226  -0.99412316 -0.9978511  -0.13631503 -0.09487378
 -0.46700925  0.1232542  -0.12072515 -0.09469417  0.        ]",[ 0.50838387 -0.13904175]
"[-0.12043105  0.07551973 -0.9927217  -0.9971443  -0.13631503 -0.09487378
 -0.7576507   0.87644935 -0.12193096 -0.09430909  0.        ]",[-0.07574119  0.1908228 ]
"[-0.15717037  0.12650855 -0.9875715  -0.99196553 -0.13631503 -0.09487378
 -2.9451213   4.2380304  -0.12566334 -0.09534991  0.        ]",[-0.5563795  0.8532446]
"[-0.21581955  0.20119044 -0.9764333  -0.97955215 -0.13631503 -0.09487378
 -3.025242    3.3374321  -0.13156962 -0.09599847  0.        ]",[-0.03502785 -0.20627114]
"[-0.2754656   0.25444674 -0.9613109  -0.9670868  -0.13631503 -0.09487378
 -3.1287053   2.1368217  -0.1375204  -0.09373406  0.        ]",[-0.04134861 -0.28654474]
"[-0.32872882  0.28769836 -0.94442433 -0.95772105 -0.13631503 -0.09487378
 -2.4618454   1.3206108  -0.14277083 -0.08969908  0.        ]",[ 0.1528233  -0.19542073]
"[-0.33862925  0.29962993 -0.9409199  -0.9540555  -0.13631503 -0.09487378
  1.3987398  -0.06778397 -0.14377126 -0.08956454  0.        ]",[ 0.9632209  -0.34381038]
"[-0.32520595  0.29328054 -0.94564325 -0.95602643 -0.13631503 -0.09487378
  0.02884023 -0.5952878  -0.1424581  -0.09087304  0.        ]",[-0.3392273  -0.13364305]
"[-0.30483982  0.27469885 -0.95240366 -0.9615303  -0.13631503 -0.09487378
  2.1101596  -1.3402221  -0.14043024 -0.09177575  0.        ]",[ 0.5260695 -0.1909899]
"[-0.2523119   0.2549151  -0.96764594 -0.96696347 -0.13631503 -0.09487378
  3.3558476  -0.7135194  -0.1352313  -0.09705964  0.        ]",[0.3253774  0.15163743]
"[-0.19382095  0.2784537  -0.9810369  -0.96044964 -0.13631503 -0.09487378
  2.6478124   3.143053   -0.12896468 -0.10767429  0.        ]",[-0.16191468  0.9703656 ]
"[-0.15939568  0.31743404 -0.9872148  -0.94828033 -0.13631503 -0.09487378
  0.85587865  0.9481156  -0.12448146 -0.11656803  0.        ]",[-0.4397222  -0.53873014]
"[-0.16148059  0.332562   -0.9868759  -0.9430814  -0.13631503 -0.09487378
 -1.0607193   0.65252554 -0.12443181 -0.11803861  0.        ]",[-0.4800903  -0.07002848]
"[-0.1782339   0.3719713  -0.98398817 -0.92824423 -0.13631503 -0.09487378
 -0.640745    3.549112   -0.12558858 -0.12046007  0.        ]",[0.10101322 0.7348255 ]
"[-0.2233874   0.41902968 -0.9747297  -0.9079725  -0.13631503 -0.09487378
 -3.9578822   1.581914   -0.1299866  -0.12009289  0.        ]",[-0.84165096 -0.47929543]
