"[ 9.98561263e-01  9.95361090e-01  5.36224619e-02 -9.62099656e-02
  1.44977644e-01  1.21820584e-01  2.24654167e-03 -1.62218011e-03
  2.09755808e-01  6.65484054e-04  0.00000000e+00]"
"[ 0.99696803  0.99704015  0.07781257 -0.07688227  0.14497764  0.12182058
  2.4140363   1.9352502   0.20969683  0.00788089  0.        ]"
"[ 0.98995596  0.9997012   0.14137626 -0.02444279  0.14497764  0.12182058
  3.9767811   3.3114638   0.20823859  0.02702068  0.        ]"
"[0.97370034 0.9986903  0.2278325  0.05116289 0.14497764 0.12182058
 4.8203692  4.2484603  0.20305488 0.05329078 0.        ]"
"[0.94640493 0.9899875  0.3229825  0.14115529 0.14497764 0.12182058
 5.08158    4.7940254  0.19268791 0.08216507 0.        ]"
"[0.9117961  0.97212696 0.41064325 0.23445502 0.14497764 0.12182058
 4.348886   4.7092175  0.17809072 0.10849188 0.        ]"
"[0.88048005 0.9474897  0.4740832  0.3197864  0.14497764 0.12182058
 2.7327957  4.177167   0.1631374  0.12779258 0.        ]"
"[0.8634734  0.9199917  0.50439435 0.39193788 0.14497764 0.12182058
 0.7495926  3.5482259  0.15198264 0.13871218 0.        ]"
"[ 0.8650425   0.8922899   0.5016986   0.4514629   0.14497764  0.12182058
 -1.0555074   3.0202389   0.14649372  0.14237256  0.        ]"
"[ 0.8811855   0.86472946  0.47277078  0.502238    0.14497764  0.12182058
 -2.2533858   2.7587063   0.14581753  0.14093007  0.        ]"
"[ 0.9032529   0.8353497   0.42910862  0.5497189   0.14497764  0.12182058
 -2.6380174   2.8253474   0.14737582  0.13696009  0.        ]"
"[ 0.92396057  0.8018399   0.38248774  0.59753895  0.14497764  0.12182058
 -2.4644      3.0140884   0.14875111  0.13271622  0.        ]"
"[ 0.94051576  0.763783    0.33975008  0.6454731   0.14497764  0.12182058
 -2.120356    3.1070287   0.14894734  0.1292978   0.        ]"
"[ 0.95301014  0.7226592   0.3029383   0.69120455  0.14497764  0.12182058
 -1.7684938   3.0443814   0.14802518  0.1268347   0.        ]"
"[ 0.9623409   0.6807009   0.2718455   0.73256147  0.14497764  0.12182058
 -1.4788823   2.848546    0.14638567  0.12508655  0.        ]"
"[ 0.9694061   0.64006     0.24546224  0.7683249   0.14497764  0.12182058
 -1.2532429   2.5666556   0.14444779  0.12375838  0.        ]"
"[ 0.97481585  0.602533    0.2230115   0.798094    0.14497764  0.12182058
 -1.0567924   2.2250102   0.14251274  0.1226614   0.        ]"
"[ 0.97895795  0.56943     0.2040621   0.82203984  0.14497764  0.12182058
 -0.8834978   1.8620855   0.14076282  0.12170974  0.        ]"
"[ 0.98210293  0.5414376   0.188345    0.8407409   0.14497764  0.12182058
 -0.7199314   1.5057151   0.13928401  0.12087829  0.        ]"
"[ 0.98445356  0.5186952   0.17564495  0.85495925  0.14497764  0.12182058
 -0.5721453   1.1775848   0.13809612  0.12016959  0.        ]"
"[ 0.98618877  0.50098354  0.16562527  0.8654568   0.14497764  0.12182058
 -0.4451633   0.88232213  0.13719833  0.11957522  0.        ]"
"[ 0.9874582   0.4878251   0.15788049  0.8729414   0.14497764  0.12182058
 -0.34000403  0.6323442   0.13657328  0.11907926  0.        ]"
"[ 0.98836994  0.47852647  0.15206847  0.8780731   0.14497764  0.12182058
 -0.24861026  0.4304004   0.1361747   0.11867611  0.        ]"
