"[ 0.9962695   0.9992237   0.0862961  -0.03939562 -0.02209714  0.09688276
  0.00313406 -0.0026241   0.2095055   0.01379746  0.        ]"
"[ 0.9945953   0.9999819   0.10382766 -0.00602296 -0.02209714  0.09688276
  1.7522004   3.3298025   0.20893212  0.0211416   0.        ]"
"[ 0.9885782   0.9956876   0.15070868  0.09276962 -0.02209714  0.09688276
  2.9707506   6.55208     0.20559512  0.04166295  0.        ]"
"[ 0.9764198   0.9682565   0.21588051  0.24995887 -0.02209714  0.09688276
  3.6578343   9.411846    0.19570376  0.0714265   0.        ]"
"[ 0.95632684  0.8945057   0.29229942  0.4470566  -0.02209714  0.09688276
  4.2439604  11.664077    0.17535785  0.1050183   0.        ]"
"[ 0.92655253  0.75790536  0.3761654   0.65236455 -0.02209714  0.09688276
  4.657123   13.054092    0.14290868  0.13546626  0.        ]"
"[ 0.88701314  0.5568075   0.4617442   0.83064157 -0.02209714  0.09688276
  4.773191   13.898972    0.10084044  0.15550253  0.        ]"
"[ 0.8395338   0.30564484  0.5433074   0.9521456  -0.02209714  0.09688276
  4.6683054  14.092561    0.05527545  0.16052672  0.        ]"
"[ 0.7901993   0.0332691   0.61284995  0.99944645 -0.02209714  0.09688276
  3.8633866  13.642968    0.0145349   0.15040152  0.        ]"
"[ 0.7502422  -0.22189118  0.66116315  0.97507143 -0.02209714  0.09688276
  2.4119272  12.065165   -0.01420386  0.13044731  0.        ]"
"[ 0.72986037 -0.42345983  0.68359625  0.9059149  -0.02209714  0.09688276
  0.6249522   9.294809   -0.02913336  0.10924697  0.        ]"
"[ 0.7304133  -0.5576348   0.68300545  0.8300864  -0.02209714  0.09688276
 -0.7015257   6.1429505  -0.03412782  0.09309719  0.        ]"
"[ 0.7429298  -0.6323251   0.6693693   0.77470315 -0.02209714  0.09688276
 -1.1480051   3.1686754  -0.0344243   0.08368753  0.        ]"
"[ 0.75682366 -0.6620066   0.65361917  0.749498   -0.02209714  0.09688276
 -0.9529384   0.7336446  -0.03331766  0.08015996  0.        ]"
"[ 0.7666794  -0.6613391   0.6420301   0.750087   -0.02209714  0.09688276
 -0.5696723  -0.8175017  -0.03207953  0.08075479  0.        ]"
"[ 0.77231884 -0.64370257  0.6352351   0.7652758  -0.02209714  0.09688276
 -0.3142231  -1.507791   -0.03092818  0.08355802  0.        ]"
"[ 0.7757299  -0.6190949   0.63106513  0.78531617 -0.02209714  0.09688276
 -0.2248112  -1.6653849  -0.02976896  0.08714189  0.        ]"
"[ 0.7781193  -0.59378076  0.6281165   0.8046269  -0.02209714  0.09688276
 -0.1549494  -1.519123   -0.02860551  0.09065627  0.        ]"
"[ 0.779615   -0.5715068   0.6262591   0.82059735 -0.02209714  0.09688276
 -0.08376092 -1.222725   -0.02757923  0.0936283   0.        ]"
"[ 0.78018034 -0.55429786  0.6255546   0.83231837 -0.02209714  0.09688276
 -0.00682121 -0.86065507 -0.0268243   0.09584326  0.        ]"
"[ 0.7798916  -0.5427897   0.6259146   0.83986866 -0.02209714  0.09688276
  0.05276872 -0.5168935  -0.02640111  0.09727094  0.        ]"
"[ 0.77908397 -0.53640866  0.62691957  0.8439584  -0.02209714  0.09688276
  0.07608432 -0.24193496 -0.02626171  0.0980273   0.        ]"
"[ 0.7781413  -0.53397757  0.62808925  0.8454986  -0.02209714  0.09688276
  0.07414643 -0.04651475 -0.02630729  0.09828752  0.        ]"
"[ 0.77730644 -0.5342323   0.6291222   0.8453377  -0.02209714  0.09688276
  0.05871905  0.07624153 -0.02644847  0.09822106  0.        ]"
"[ 0.776697   -0.53606963  0.6298744   0.8441738  -0.02209714  0.09688276
  0.0381618   0.14103448 -0.02661988  0.09796865  0.        ]"
"[ 0.7763413  -0.53862864  0.6303128   0.8425433  -0.02209714  0.09688276
  0.01835494  0.16232888 -0.02678068  0.09763692  0.        ]"
"[ 0.77620083 -0.54128045  0.6304858   0.8408421  -0.02209714  0.09688276
  0.00397989  0.1527588  -0.02691087  0.09730177  0.        ]"
"[ 0.7762089  -0.54362357  0.6304759   0.8393291  -0.02209714  0.09688276
 -0.00522821  0.12624463 -0.02700476  0.09701042  0.        ]"
"[ 0.7763055  -0.5454644   0.63035685  0.838134   -0.02209714  0.09688276
 -0.01008453  0.09333929 -0.02706421  0.09678486  0.        ]"
"[ 0.77644265 -0.5467577   0.6301879   0.8372909  -0.02209714  0.09688276
 -0.01167219  0.06115498 -0.02709516  0.09662908  0.        ]"
"[ 0.7765864  -0.5475508   0.6300107   0.83677244 -0.02209714  0.09688276
 -0.01114652  0.03368804 -0.02710494  0.09653602  0.        ]"
"[ 0.77671576 -0.54793966  0.6298513   0.8365179  -0.02209714  0.09688276
 -0.009387    0.01285721 -0.0271007   0.09649289  0.        ]"
"[ 0.7768197  -0.5480367   0.6297231   0.83645433 -0.02209714  0.09688276
 -0.00712937 -0.00121145 -0.02708866  0.09648521  0.        ]"
"[ 0.7768952  -0.54794794  0.62962985  0.83651245 -0.02209714  0.09688276
 -0.00487446 -0.0093667  -0.02707353  0.09649958  0.        ]"
"[ 0.7769442  -0.5477615   0.6295694   0.8366346  -0.02209714  0.09688276
 -0.00291399 -0.01291286 -0.02705854  0.09652504  0.        ]"
"[ 0.7769713  -0.5475426   0.6295361   0.8367778  -0.02209714  0.09688276
 -0.00138139 -0.01324889 -0.02704561  0.09655361  0.        ]"
"[ 7.7698183e-01 -5.4733431e-01  6.2952304e-01  8.3691406e-01
 -2.2097141e-02  9.6882761e-02 -2.9971861e-04 -1.1640093e-02
 -2.7035624e-02  9.6580125e-02  0.0000000e+00]"
"[ 7.7698135e-01 -5.4716080e-01  6.2952363e-01  8.3702749e-01
 -2.2097141e-02  9.6882761e-02  3.7418006e-04 -9.1005228e-03
 -2.7028723e-02  9.6601814e-02  0.0000000e+00]"
"[ 7.7697444e-01 -5.4703146e-01  6.2953216e-01  8.3711201e-01
 -2.2097141e-02  9.6882761e-02  7.1990647e-04 -6.3572042e-03
 -2.7024582e-02  9.6617699e-02  0.0000000e+00]"
"[ 7.7696472e-01 -5.4694599e-01  6.2954414e-01  8.3716792e-01
 -2.2097141e-02  9.6882761e-02  8.2612940e-04 -3.8675359e-03
 -2.7022636e-02  9.6627980e-02  0.0000000e+00]"
"[ 7.7695459e-01 -5.4689801e-01  6.2955660e-01  8.3719927e-01
 -2.2097141e-02  9.6882761e-02  7.7763374e-04 -1.8678239e-03
 -2.7022257e-02  9.6633546e-02  0.0000000e+00]"
"[ 7.7694565e-01 -5.4687881e-01  6.2956768e-01  8.3721179e-01
 -2.2097141e-02  9.6882761e-02  6.4325501e-04 -4.3122986e-04
 -2.7022857e-02  9.6635565e-02  0.0000000e+00]"
"[ 7.7693862e-01 -5.4687923e-01  6.2957639e-01  8.3721155e-01
 -2.2097141e-02  9.6882761e-02  4.7729720e-04  4.7690445e-04
 -2.7023956e-02  9.6635208e-02  0.0000000e+00]"
"[ 7.7693361e-01 -5.4689115e-01  6.2958252e-01  8.3720374e-01
 -2.2097141e-02  9.6882761e-02  3.1422320e-04  9.4790978e-04
 -2.7025200e-02  9.6633501e-02  0.0000000e+00]"
"[ 7.7693057e-01 -5.4690826e-01  6.2958628e-01  8.3719254e-01
 -2.2097141e-02  9.6882761e-02  1.7552858e-04  1.0966805e-03
 -2.7026363e-02  9.6631229e-02  0.0000000e+00]"
"[ 7.7692902e-01 -5.4692608e-01  6.2958819e-01  8.3718091e-01
 -2.2097141e-02  9.6882761e-02  6.9480790e-05  1.0345869e-03
 -2.7027316e-02  9.6628927e-02  0.0000000e+00]"
"[ 7.7692860e-01 -5.4694194e-01  6.2958872e-01  8.3717054e-01
 -2.2097141e-02  9.6882761e-02 -2.7150968e-06  8.5609214e-04
 -2.7028017e-02  9.6626930e-02  0.0000000e+00]"
"[ 7.7692890e-01 -5.4695439e-01  6.2958837e-01  8.3716238e-01
 -2.2097141e-02  9.6882761e-02 -4.4417717e-05  6.3344819e-04
 -2.7028473e-02  9.6625388e-02  0.0000000e+00]"
"[ 7.7692956e-01 -5.4696316e-01  6.2958753e-01  8.3715665e-01
 -2.2097141e-02  9.6882761e-02 -6.3019434e-05  4.1574935e-04
 -2.7028721e-02  9.6624315e-02  0.0000000e+00]"
"[ 7.7693039e-01 -5.4696858e-01  6.2958652e-01  8.3715314e-01
 -2.2097141e-02  9.6882761e-02 -6.5174325e-05  2.2986211e-04
 -2.7028814e-02  9.6623674e-02  0.0000000e+00]"
"[ 7.7693117e-01 -5.4697126e-01  6.2958556e-01  8.3715141e-01
 -2.2097141e-02  9.6882761e-02 -5.7626170e-05  8.8690766e-05
 -2.7028803e-02  9.6623376e-02  0.0000000e+00]"
"[ 7.7693182e-01 -5.4697192e-01  6.2958479e-01  8.3715093e-01
 -2.2097141e-02  9.6882761e-02 -4.5674955e-05 -6.5846348e-06
 -2.7028730e-02  9.6623316e-02  0.0000000e+00]"
"[ 7.7693230e-01 -5.4697132e-01  6.2958419e-01  8.3715135e-01
 -2.2097141e-02  9.6882761e-02 -3.2263753e-05 -6.2057406e-05
 -2.7028631e-02  9.6623413e-02  0.0000000e+00]"
"[ 7.7693260e-01 -5.4697013e-01  6.2958378e-01  8.3715212e-01
 -2.2097141e-02  9.6882761e-02 -1.9651441e-05 -8.6237393e-05
 -2.7028533e-02  9.6623577e-02  0.0000000e+00]"
"[ 7.7693278e-01 -5.4696864e-01  6.2958354e-01  8.3715308e-01
 -2.2097141e-02  9.6882761e-02 -9.9055706e-06 -8.9206522e-05
 -2.7028445e-02  9.6623771e-02  0.0000000e+00]"
